brainid,allenid,resx,resy,resz,sizex,sizey,sizez
196476,486476,0.35,0.35,1,18841,30800,12025
201588,504321,0.35,0.35,1,17833,30800,11255
194076,476574,0.35,0.35,1,17899,29401,11562
191809,427527,0.35,0.35,1,17916,30801,11766
182726,408668,0.23,0.23,1,24425,40601,10923
191798,439309,0.35,0.35,1,18893,30801,10711
194060,463964,0.35,0.35,1,17848,30801,11338
192337,452669,0.23,0.23,1,25276,39201,11450
192340,452676,0.23,0.23,1,25326,39201,11117
201603,474594,0.325,0.325,1,28601,23005,10630
201592,501056,0.35,0.35,1,18877,29400,10266
201584,498844,0.35,0.35,1,23842,32200,12182
196483,487265,0.35,0.35,1,18877,29400,10470
211547,574872,0.35,0.35,1,26951,25200,11589
191805,443055,0.35,0.35,1,17797,30801,10827
211793,580672,0.35,0.35,1,27814,22400,11155
191813,380471,0.35,0.35,1,19830,30801,11203
211785,473287,0.35,0.35,1,27760,22400,11378
194083,482503,0.35,0.35,1,19811,30801,11767
211550,581039,0.35,0.35,1,26691,23800,11505
211803,538071,0.35,0.35,1,25778,21000,10687
191812,380470,0.35,0.35,1,18911,30801,11657
211792,580669,0.35,0.35,1,28751,23800,10947
191804,431038,0.35,0.35,1,18875,29401,11033
211546,578438,0.35,0.35,1,26899,23800,11076
196482,487264,0.35,0.35,1,18841,30800,11255
201585,498845,0.35,0.35,1,31941,43400,12102
201593,504501,0.35,0.35,1,18841,29400,10408
201602,504499,0.325,0.325,1,28432,23005,11200
182711,375891,0.35,0.35,1,19830,30801,11092
192341,463865,0.35,0.35,1,16873,29401,11287
192336,448763,0.35,0.35,1,17848,29401,10800
191799,439311,0.35,0.35,1,23886,30801,11025
194061,463967,0.35,0.35,1,16905,29401,10767
191808,426124,0.35,0.35,1,20821,30801,11294
182727,418245,0.35,0.35,1,18839,30801,11148
194077,481967,0.35,0.35,1,19906,32201,11407
211531,557416,0.35,0.35,1,25753,22400,11069
201589,507599,0.35,0.35,1,18949,30800,11366
196477,486477,0.35,0.35,1,19946,30800,11247
192346,436253,0.35,0.35,1,18911,32201,11525
182716,407017,0.35,0.35,1,19830,30801,10948
201605,512894,0.325,0.325,1,28627,25005,10558
201594,512882,0.35,0.35,1,29887,43400,10470
201582,502170,0.35,0.35,1,36859,43400,11992
17543,325875,0.35,0.35,1,18911,25201,10217
196485,384979,0.35,0.35,1,19832,29400,10321
211541,577267,0.35,0.35,1,25953,21000,11204
191803,423019,0.35,0.35,1,17848,29401,11712
211795,580874,0.35,0.35,1,27760,23800,11103
191815,362188,0.35,0.35,1,19868,28001,10804
211804,538073,0.35,0.35,1,26743,19600,10874
196470,491992,0.35,0.35,1,18841,29400,11347
201598,507602,0.325,0.325,1,28536,22005,11438
211536,564972,0.35,0.35,1,24883,21000,11455
194070,455396,0.35,0.35,1,20761,30801,11154
182720,404421,0.23,0.23,1,34117,37801,10913
191819,417612,0.35,0.35,1,19849,29401,11366
194066,462923,0.35,0.35,1,16889,29401,11532
194067,467364,0.35,0.35,1,18821,30801,11418
191818,417222,0.35,0.35,1,16921,30801,11640
182737,404922,0.35,0.35,1,18839,30801,11722
182721,417570,0.35,0.35,1,18839,30801,9883
211798,588379,0.35,0.35,1,26717,21000,11288
194071,456380,0.35,0.35,1,19887,28001,11747
211537,568580,0.35,0.35,1,26717,23800,11433
201599,501054,0.325,0.325,1,26572,22005,10700
196471,491993,0.35,0.35,1,21940,30800,11096
211805,538074,0.35,0.35,1,27841,22400,10386
211794,580674,0.35,0.35,1,26717,22400,11238
211540,576273,0.35,0.35,1,26847,22400,12040
196484,373373,0.35,0.35,1,19813,30800,10966
201583,498843,0.35,0.35,1,30913,43400,11352
201595,504322,0.325,0.325,1,30474,26005,11736
201604,511266,0.325,0.325,1,28523,22018,10416
192347,437264,0.35,0.35,1,22869,32201,11611
182717,407020,0.23,0.23,1,26299,39201,10206
194068,467369,0.35,0.35,1,20761,30801,10957
211781,458628,0.35,0.35,1,26873,21000,10777
191817,373187,0.35,0.35,1,19906,29401,11428
211797,588376,0.35,0.35,1,24789,22400,10820
191801,420489,0.35,0.35,1,17865,28001,11151
211543,571398,0.35,0.35,1,27895,22400,11482
196468,494229,0.35,0.35,1,19870,30800,11330
196487,365716,0.35,0.35,1,23888,30800,10491
211538,568581,0.35,0.35,1,26925,22400,11198
201596,504324,0.325,0.325,1,30600,22005,10852
182714,372167,0.35,0.35,1,17848,29401,11334
192344,459080,0.35,0.35,1,19830,30801,11213
192333,453450,0.35,0.35,1,17916,30801,12021
194064,483394,0.35,0.35,1,19925,32201,11214
18456,373370,0.23,0.23,1,25324,39200,10954
182722,417571,0.23,0.23,1,25351,37801,10715
194072,464408,0.35,0.35,1,18913,30800,10794
211534,560120,0.35,0.35,1,25903,21000,11054
191821,372164,0.35,0.35,1,22869,30801,11469
192348,444771,0.35,0.35,1,18839,32201,12216
182718,411732,0.35,0.35,1,17848,30801,11367
196472,491994,0.35,0.35,1,19908,29400,11367
196473,491995,0.35,0.35,1,18859,30800,11613
192349,446176,0.35,0.35,1,19773,30801,11388
182719,415513,0.23,0.23,1,23357,39201,10377
211535,560124,0.35,0.35,1,25853,21000,10619
191820,426812,0.35,0.35,1,18839,30801,10998
194073,472055,0.35,0.35,1,16841,26601,11024
182723,405425,0.23,0.23,1,26325,37801,11499
194065,458629,0.35,0.35,1,19773,30801,11374
182715,407016,0.23,0.23,1,25351,39201,11025
192345,462090,0.35,0.35,1,19773,30801,11288
201606,512897,0.325,0.325,1,30698,29005,10908
201597,507601,0.325,0.325,1,32578,25005,12000
211539,568583,0.35,0.35,1,26873,23800,11420
196469,497523,0.35,0.35,1,18823,30800,11438
196486,384984,0.35,0.35,1,19946,29400,11025
211542,571399,0.35,0.35,1,26769,22400,11213
211796,581040,0.35,0.35,1,26769,22400,11399
191816,362191,0.35,0.35,1,19773,29401,11278
194069,455391,0.35,0.35,1,19906,30801,11409
192335,454924,0.35,0.35,1,19868,29401,11299
194062,463970,0.35,0.35,1,18911,29401,11256
182724,405426,0.35,0.35,1,19001,30801,11525
211549,577639,0.35,0.35,1,25778,21000,11685
194074,472056,0.35,0.35,1,18839,30801,11302
211532,557417,0.35,0.35,1,26691,26600,12873
196474,493297,0.35,0.35,1,17884,30800,11237
194081,472610,0.35,0.35,1,18785,29401,11468
192339,452674,0.35,0.35,1,19906,30801,10980
191811,442529,0.35,0.35,1,19811,29401,10895
211791,578169,0.35,0.35,1,24787,22400,11107
191807,439168,0.35,0.35,1,20821,30801,10830
182728,394496,0.35,0.35,1,19000,29600,10350
194078,481969,0.35,0.35,1,23886,30801,11005
211545,574347,0.35,0.35,1,25778,35000,11827
196481,487261,0.35,0.35,1,19813,30800,11182
201586,498846,0.35,0.35,1,35688,46200,11611
201590,507603,0.35,0.35,1,21898,30800,11039
196478,486478,0.35,0.35,1,20903,32200,11573
201601,503816,0.325,0.325,1,30726,30005,11664
192342,454426,0.35,0.35,1,17814,30801,11495
182712,372164,0.23,0.23,1,25326,39201,10764
192343,454427,0.35,0.35,1,18929,30801,11712
182713,372172,0.23,0.23,1,18839,28001,11074
196479,487259,0.35,0.35,1,17867,29400,10746
201600,501055,0.325,0.325,1,26632,27005,11500
201591,501053,0.35,0.35,1,18859,30800,10367
201587,504320,0.35,0.35,1,21793,30800,11149
196480,487260,0.35,0.35,1,18877,30800,11471
211544,574889,0.35,0.35,1,26951,22400,11605
194079,481971,0.35,0.35,1,18913,30800,11189
182729,394499,0.23,0.23,1,24353,40601,10683
191810,438169,0.35,0.35,1,19773,30801,11167
192338,452670,0.35,0.35,1,18911,30801,11370
194080,471329,0.35,0.35,1,20761,30801,11663
191797,435222,0.35,0.35,1,17933,30801,11197
196475,498275,0.35,0.35,1,21793,29400,11436
211533,557418,0.35,0.35,1,25778,25200,11941
182709,375886,0.35,0.35,1,18839,30801,11017
194075,476570,0.35,0.35,1,19830,30801,11325
211548,577539,0.35,0.35,1,25853,21000,11206
182725,405429,0.35,0.35,1,20821,30801,11464
194063,483393,0.35,0.35,1,18821,32201,11204
192334,453452,0.35,0.35,1,18821,30801,11515
18471,383469,0.23,0.23,1,39200,24400,11004
18865,395869,0.23,0.23,1,36401,24001,11625
18455,373368,0.23,0.23,1,,,
18472,384994,0.23,0.23,1,,,
18047,358361,0.23,0.23,1,,,
18867,394528,0.23,0.23,1,,,
18452,374707,0.23,0.23,1,,,
18462,373641,0.35,0.35,1,,,
18458,381487,0.23,0.23,1,,,
18453,,0.23,0.23,1,,,
18869,,0.35,0.35,1,,,
18459,,0.23,0.23,1,,,
18454,,0.23,0.23,1,,,
18866,,0.35,0.35,1,,,
18054,,0.35,0.35,1,,,
18461,,0.35,0.35,1,,,
18463,,0.35,0.35,1,,,
18862,,0.35,0.35,1,,,
18049,,0.23,0.23,1,,,
17788,,0.23,0.23,1,,,
18465,,0.23,0.23,1,,,
18464,,0.23,0.23,1,,,
18457,,0.23,0.23,1,,,
18860,,0.23,0.23,1,,,
18053,,0.23,0.23,1,,,
17782,,0.2,0.2,1,,,
18466,,0.23,0.23,1,,,
18052,,0.23,0.23,1,,,
18872,,0.35,0.35,1,,,
17302,,0.2,0.2,1,,,
17545,,0.2,0.2,1,,,
17781,,0.2,0.2,1,,,
17787,,0.23,0.23,1,,,
18868,,0.23,0.23,1,,,
236174,,0.23,0.23,1,,,
17109,,0.2,0.2,1,,,
210254,,0.35,0.35,1,,,
17300,,0.2,0.2,1,,,
18864,,0.23,0.23,1,,,
17786,,0.2,0.2,1,,,
18470,,0.23,0.23,1,,,
18469,,0.23,0.23,1,,,
18467,,0.23,0.23,1,,,
15257,,0.35,0.35,1,,,
